question,intent
What counters Anti-Mage?,counter_heroes
Who counters Anti-Mage?,counter_heroes
What heroes counter Anti-Mage?,counter_heroes
Who is strong against Anti-Mage?,counter_heroes
Who counters Anti-Mage in Dota 2?,counter_heroes
How do I beat Anti-Mage?,counter_heroes
How to beat Anti-Mage?,counter_heroes
How do I counter Anti-Mage?,counter_heroes
How to counter Anti-Mage?,counter_heroes
How do I play against Anti-Mage?,counter_heroes
Tips for fighting Anti-Mage?,counter_heroes
What heroes are good against Anti-Mage?,counter_heroes
Best counters for Anti-Mage?,counter_heroes
Who should I pick against Anti-Mage?,counter_heroes
Which heroes beat Anti-Mage?,counter_heroes
How to deal with Anti-Mage?,counter_heroes
What's the counter to Anti-Mage?,counter_heroes
Strong against Anti-Mage,counter_heroes
What counters Axe?,counter_heroes
Who counters Axe?,counter_heroes
What heroes counter Axe?,counter_heroes
Who is strong against Axe?,counter_heroes
Who counters Axe in Dota 2?,counter_heroes
How do I beat Axe?,counter_heroes
How to beat Axe?,counter_heroes
How do I counter Axe?,counter_heroes
How to counter Axe?,counter_heroes
How do I play against Axe?,counter_heroes
Tips for fighting Axe?,counter_heroes
What heroes are good against Axe?,counter_heroes
Best counters for Axe?,counter_heroes
Who should I pick against Axe?,counter_heroes
Which heroes beat Axe?,counter_heroes
How to deal with Axe?,counter_heroes
What's the counter to Axe?,counter_heroes
Strong against Axe,counter_heroes
What counters Bane?,counter_heroes
Who counters Bane?,counter_heroes
What heroes counter Bane?,counter_heroes
Who is strong against Bane?,counter_heroes
Who counters Bane in Dota 2?,counter_heroes
How do I beat Bane?,counter_heroes
How to beat Bane?,counter_heroes
How do I counter Bane?,counter_heroes
How to counter Bane?,counter_heroes
How do I play against Bane?,counter_heroes
Tips for fighting Bane?,counter_heroes
What heroes are good against Bane?,counter_heroes
Best counters for Bane?,counter_heroes
Who should I pick against Bane?,counter_heroes
Which heroes beat Bane?,counter_heroes
How to deal with Bane?,counter_heroes
What's the counter to Bane?,counter_heroes
Strong against Bane,counter_heroes
What counters Bloodseeker?,counter_heroes
Who counters Bloodseeker?,counter_heroes
What heroes counter Bloodseeker?,counter_heroes
Who is strong against Bloodseeker?,counter_heroes
Who counters Bloodseeker in Dota 2?,counter_heroes
How do I beat Bloodseeker?,counter_heroes
How to beat Bloodseeker?,counter_heroes
How do I counter Bloodseeker?,counter_heroes
How to counter Bloodseeker?,counter_heroes
How do I play against Bloodseeker?,counter_heroes
Tips for fighting Bloodseeker?,counter_heroes
What heroes are good against Bloodseeker?,counter_heroes
Best counters for Bloodseeker?,counter_heroes
Who should I pick against Bloodseeker?,counter_heroes
Which heroes beat Bloodseeker?,counter_heroes
How to deal with Bloodseeker?,counter_heroes
What's the counter to Bloodseeker?,counter_heroes
Strong against Bloodseeker,counter_heroes
What counters Crystal Maiden?,counter_heroes
Who counters Crystal Maiden?,counter_heroes
What heroes counter Crystal Maiden?,counter_heroes
Who is strong against Crystal Maiden?,counter_heroes
Who counters Crystal Maiden in Dota 2?,counter_heroes
How do I beat Crystal Maiden?,counter_heroes
How to beat Crystal Maiden?,counter_heroes
How do I counter Crystal Maiden?,counter_heroes
How to counter Crystal Maiden?,counter_heroes
How do I play against Crystal Maiden?,counter_heroes
Tips for fighting Crystal Maiden?,counter_heroes
What heroes are good against Crystal Maiden?,counter_heroes
Best counters for Crystal Maiden?,counter_heroes
Who should I pick against Crystal Maiden?,counter_heroes
